disease,fever,headache,cough,fatigue,nausea,vomiting,body_pain,chest_pain,shortness_of_breath,sore_throat,runny_nose,diarrhea,abdominal_pain,joint_pain,dizziness,loss_of_taste,loss_of_smell,high_temperature,skin_rash,itching
Food Poisoning,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Food Poisoning,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
Food Poisoning,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
Food Poisoning,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Constipation,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Constipation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Constipation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Constipation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constipation,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gastric Problem,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gastric Problem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Gastric Problem,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gastric Problem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Gastric Problem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Heart Disease,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Heart Disease,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Heart Disease,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Heart Disease,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Heart Disease,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Dengue,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
Dengue,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Dengue,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0
Dengue,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
Dengue,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1
Typhoid,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
Typhoid,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0
Typhoid,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
Typhoid,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0
Typhoid,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0
Malaria,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
Malaria,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0
Malaria,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
Malaria,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0
Malaria,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0
Asthma,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Asthma,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
Asthma,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Asthma,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
Pneumonia,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Pneumonia,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
Pneumonia,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
Pneumonia,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
Pneumonia,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Diabetes,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral Disease,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
Viral Disease,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
Viral Disease,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Viral Disease,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Viral Disease,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
Allergy,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Allergy,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Allergy,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
Allergy,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
Allergy,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Hypertension,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hypertension,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hypertension,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Hypertension,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hypertension,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Anemia,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Anemia,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Anemia,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Anemia,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Anemia,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Cancer,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Cancer,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
Cancer,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0
Cancer,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Cancer,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0
